X1_um,Y1_um,Z1_um,X2_um,Y2_um,Z2_um
2131.191213,-5140.399545,-2131.191213,-1629.100926,-5495.470411,1629.100926
2140.503556,-5159.761847,-2140.503556,-1634.466917,-5517.622704,1634.466917
2152.931164,-5185.567518,-2152.931164,-1641.608811,-5547.16527,1641.608811
2162.260229,-5204.913716,-2162.260229,-1646.95566,-5569.326819,1646.95566
2171.596456,-5224.253003,-2171.596456,-1652.294301,-5591.492325,1652.294301
2184.055895,-5250.027959,-2184.055895,-1659.399722,-5621.052476,1659.399722
2193.408824,-5269.351101,-2193.408824,-1664.719209,-5643.22719,1664.719209
2202.768906,-5288.667314,-2202.768906,-1670.030485,-5665.405841,1670.030485
2215.260139,-5314.411477,-2215.260139,-1677.09941,-5694.983487,1677.09941
2224.636904,-5333.711504,-2224.636904,-1682.391521,-5717.171299,1682.391521
2234.020813,-5353.004584,-2234.020813,-1687.675414,-5739.363027,1687.675414
2246.543802,-5378.717876,-2246.543802,-1694.707823,-5768.958078,1694.707823
2255.944373,-5397.994728,-2255.944373,-1699.972539,-5791.15892,1699.972539
2265.352081,-5417.264617,-2265.352081,-1705.229035,-5813.363657,1705.229035
2277.906788,-5442.94696,-2277.906788,-1712.224905,-5842.976024,1712.224905
2287.331137,-5462.200579,-2287.331137,-1717.462212,-5865.189828,1717.462212
2296.762615,-5481.447218,-2296.762615,-1722.691294,-5887.407508,1722.691294
2309.349001,-5507.098533,-2309.349001,-1729.650604,-5917.037098,1729.650604
2318.7971,-5526.328861,-2318.7971,-1734.860486,-5939.263797,1734.860486
2328.252318,-5545.55219,-2328.252318,-1740.062138,-5961.494351,1740.062138
2340.870346,-5571.172399,-2340.870346,-1746.984867,-5991.141076,1746.984867
2350.342165,-5590.379377,-2350.342165,-1752.167308,-6013.380602,1752.167308
2359.821096,-5609.579339,-2359.821096,-1757.341513,-6035.623963,1757.341513
2372.470726,-5635.168364,-2372.470726,-1764.227641,-6065.287732,1764.227641
2381.966238,-5654.351934,-2381.966238,-1769.382625,-6087.540017,1769.382625
2391.468851,-5673.52847,-2391.468851,-1774.529368,-6109.796117,1774.529368
2404.150046,-5699.086233,-2404.150046,-1781.378873,-6139.47684,1781.378873
2413.66922,-5718.246336,-2413.66922,-1786.506384,-6161.741816,1786.506384
2426.372487,-5743.782169,-2426.372487,-1793.33024,-6191.434353,1793.33024
2435.908208,-5762.92581,-2435.908208,-1798.438511,-6213.708173,1798.438511
2445.451017,-5782.062388,-2445.451017,-1803.538534,-6235.985773,1803.538534
2458.185782,-5807.566827,-2458.185782,-1810.325732,-6265.695109,1810.325732
2467.745117,-5826.686902,-2467.745117,-1815.406503,-6287.981506,1815.406503
2477.31153,-5845.799896,-2477.31153,-1820.479022,-6310.271662,1820.479022
2490.077755,-5871.272863,-2490.077755,-1827.229541,-6339.997707,1827.229541
2499.660674,-5890.369313,-2499.660674,-1832.282798,-6362.296612,1832.282798
2509.250664,-5909.458665,-2509.250664,-1837.327798,-6384.599256,1837.327798
2522.048309,-5934.900083,-2522.048309,-1844.041617,-6414.34192,1844.041617
2531.654784,-5953.972851,-2531.654784,-1849.067344,-6436.653265,1849.067344
2541.26832,-5973.038503,-2541.26832,-1854.084809,-6458.968329,1854.084809
2554.097347,-5998.448294,-2554.097347,-1860.761908,-6488.727521,1860.761908
2563.727348,-6017.497321,-2563.727348,-1865.760089,-6511.051238,1865.760089
2573.364401,-6036.539215,-2573.364401,-1870.750005,-6533.378654,1870.750005
2586.224771,-6061.917301,-2586.224771,-1877.390363,-6563.154284,1877.390363
2595.878269,-6080.94253,-2595.878269,-1882.360984,-6585.490305,1882.360984
2605.53881,-6099.960607,-2605.53881,-1887.323334,-6607.830005,1887.323334
2618.430483,-6125.306912,-2618.430483,-1893.926932,-6637.621982,1893.926932
2628.107448,-6144.308284,-2628.107448,-1898.869977,-6659.97024,1898.869977
2637.791448,-6163.302487,-2637.791448,-1903.804747,-6682.322155,1903.804747
2650.714385,-6188.616933,-2650.714385,-1910.371564,-6712.130388,1910.371564
2660.414788,-6207.59439,-2660.414788,-1915.287019,-6734.490814,1915.287019
2670.122217,-6226.564662,-2670.122217,-1920.194193,-6756.854877,1920.194193
